"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Ecuador","ECU","Gross capital formation (current US$)","NE.GDI.TOTL.CD","525942053.0682","445918290.371675","360296801.474997","436388473.222588","552894083.441693","581601796.637236","543738646.557614","584878367.294146","474029230.652005","699740427.571361","559903395.291567","616913723.762623","740854135.838556","798798912.246575","1626268568.1008","1590780556.5676","1914373674.16445","2700317424.16045","3171773421.30724","3229846259.10276","4537413054.32172","5632926199.50299","4337696318.10705","3544738205.70629","3176480677.7777","3250028933.86974","3609367186.2544","3543198467.61744","3407861592.533","3763013838.31353","3668399483.97664","3745199599.7999","4101973986.9935","3991794897.44872","4833829914.95748","4843761880.94047","4676422211.10555","5719415707.85393","6714440220.11005","3856065032.51626","3899913956.97849","5468473000","6766779000","6353452000","7391152000","8980930000","10511652000","11581228000","16297620000","16029588000","19501456000","22310355000","24439362000","27080615000","28803239000","26679423000","24963472000","27409223000","28770433000","28006467000","21889374000","23726652000",
"Egypt, Arab Rep.","EGY","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","835517693.315858","865314051.370602","788589119.85847","771962616.82243","701210653.753027","1174328058.27681","1107625605.71283","1046535677.35264","1332743810.00505","1743195512.15458","3017974572.5559","2880039721.94638","3455007893.35204","4236203759.85446","5800285714.28572","5959224748.75","7105405405.40541","8006157635.46798","9545983701.97905","10320361212.6424","11621819704.743","12160898035.5472","10526315789.4737","11584327086.8825","12598099442.3792","12427097711.9785","8873379860.41874","8154545180.99479","9243697478.9916","10705812574.14","12120318490.1209","12264150943.3962","13775811209.4395","18240850059.0319","19610734296.6676","19521503008.9535","17654986522.9111","15325842696.6292","13557692307.6923","13344155844.1558","16106489184.6922","20121739130.4348","27197898423.8179","36454545454.5455","36297640653.3575","42704174228.6751","40361445783.1325","44733333333.3333","40992248062.0155","41692969870.8752","47061994609.1644","50000000000","36005434782.6087","41592571750.1407","55199316628.7016","50380536494.0736","49426386233.2696",
"Euro area","EMU","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","191187901108.427","208746337308.013","247060533533.921","327966501465.498","371073871212.129","380323623446.802","413796844980.226","457293322203.144","546635627951.628","684556310548.19","786441642389.302","622754445930.872","587664578819.499","553950221808.838","530069155310.546","538864574421.879","753801686384.903","936220930575.533","1080426554248.98","1140392614130.18","1449912741658.09","1488658991306.27","1577580851787.5","1330701107253.07","1428947704545.91","1679774831425.03","1650283261245.37","1519756699077.88","1616911992978.05","1635939807801.01","1534432329143.38","1517857041957.58","1587996341926.19","1950870549551.67","2255208263382.03","2362674885182.48","2615999967412.18","3105404857634.11","3344066171274.97","2640832139255.56","2655295505250.55","2935585324905.61","2528324011916.48","2589214232069.42","2696047579251.81","2379789487794.56","2477811049926.18","2703776363327.38","2998366925258.02","3067405057226.03","2921259283669.59","3342165217155.38",
"Eritrea","ERI","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37265725.5689132","79515030.9798822","133652597.402597","130265625","191341419.289883","214739093.598522","240706977.818226","313556889.826558","155378670.12987","265289809.45223","215506677.078706","230998205.780413","224726745.240254","223413673.956754","165700468.292683","167034491.056911","175470861.788618","172000487.804878","196867869.918699","260733665.04065","","","","","","","","","","",
"Spain","ESP","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","11625084383.1709","12154380838.3234","16150315816.7228","22567975442.6042","30977167580.0404","34557182608.6957","33677162397.4136","34920376779.8467","38819118923.6111","50567850768.468","56730194940.8215","46051295728.9602","44262068756.6258","37145003480.2784","35446399296.212","37640123287.6712","54608100273.2565","73823410591.5645","95351232681.0456","110639603654.252","143991625857.003","150161197758.207","151835611896.636","112699487514.708","114874426779.282","138402722177.742","142825430185.21","133422727272.727","148160151464.528","162140834121.236","159406289835.294","166117782253.544","189126091982.745","249591671689.803","302386433654.441","339044457388.327","385245342232.941","448719178643.923","464339562816.406","347563042142.187","317173735350.001","304609919727.627","244225478636.719","233297214768.628","245476389423.136","227119507736.719","231212136016.343","254779255091.765","290990734079.215","290428630501.96","260485818018.678","297485208271.313",
"Estonia","EST","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1042593278.64514","1105491787.05719","1189285601.88828","1315342697.35986","1583605725.87917","1794399822.00467","1491259582.62351","1619316318.06874","1850229164.80172","2427036827.72911","3475379403.79404","4209349068.32298","4705633627.65825","6780590891.98344","8981428962.49658","7700499487.32972","4124859683.24535","4214855011.76206","5935080053.42414","6757543877.18203","6838620564.43374","7231345952.20625","5744263336.42656","6067152914.48873","7125083318.03178","8583793835.50901","8098344652.91763","9827341101.78991","11287192377.8487",
"Ethiopia","ETH","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10259286600.4963","16067394957.9832","16239043211.5729","21129157230.3305","26269304748.3031","27748875906.737","31435952118.5703","29265747925.939","33822600537.5309","32920623983.1563","31181452367.3439",
"European Union","EUU","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","217901284342.958","236497038967.837","279640216334.184","369098466381.339","418807047754.416","434340577299.597","472949552892.293","517172452843.379","611414497130.577","766162620721.934","877716521822.34","695989584849.502","655336228331.155","616818063148.131","595738445098.522","610334405015.503","849564912653.972","1054677894321.89","1212032358012.44","1282761878258.93","1618573429238.33","1637698991655.61","1727233948799.89","1449572391730.22","1564471688694.39","1849015703720.64","1832244379014.7","1698388189031.27","1810126958748.84","1822119654050.06","1720905140170.01","1701692216387.03","1784538352840.22","2189381362740.85","2545471300121.83","2682723383472.65","2994930178058.33","3599995279421.65","3914173776157.45","3045547777976.72","3082329807410.19","3426002335101.31","2971837565630.68","3041853255815.85","3178309714131.92","2814080608970.88","2912375939457.25","3186210036441.67","3545873391186.85","3605431423838.29","3448489688475.36","3991236645404.76",
"Fragile and conflict affected situations","FCS","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210122866301.071","86893466108.8217","87069146112.6913","75092877217.6318","70661674391.3162","77828121618.9874","76971727772.5945","86484795364.2322","91182576073.327","100463645117.981","108207758822.755","115235641659.113","93138237145.1793","100338887248.021","126150867795.938","164900235889.681","229962199328.718","267941611119.5","332870786247.319","287089640823.502","319298372582.281","325602550282.481","377541857390.737","417414797728.395","448585186685.725","349304288278.25","337524590419.038","367287644517.204","373563045688.287","423164499382.964","379124302142.028","425372828591.463",
"Finland","FIN","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","3614474801.812","4001847115.65786","4336854029.25151","6016438462.73533","9201403812.82496","10659903022.4665","9308925988.61363","9375893463.1843","8845327075.81227","12350737292.0165","16762830729.9968","14893910168.0904","15138768965.0919","14473740392.8266","14401464186.7827","15056600153.4919","19160215810.4621","24551602867.5774","31741293532.3383","38083691284.4672","42627896128.1294","30783708278.1944","23713830634.4571","16579577391.4854","20413204325.5549","27303921568.6274","26743463629.3036","27609666704.8448","30848909657.3209","30306419071.8147","30073748208.6275","30022397393.3071","30962811641.1765","38152908867.0587","45163605311.197","50410537836.5759","52093539589.4117","65508850274.51","72134672720.3125","54432778796.0937","55079550350.0001","66266813725.6811","60415902506.25","60607338601.5688","60252824571.7645","50924422653.9062","56039183893.7745","61373318955.2942","69665687487.8431","64693312447.0587","66626583427.2375","71243545317.8283",
"Fiji","FJI","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","382885085.574572","423824011.233326","305126555.126555","237561455.26057","222889340.47663","217839805.825243","235237002.383264","188439585.175657","142697336.22317","158835030.000674","190964953.744345","217470859.311467","195542248.835662","261317940.070048","246226350.659108","270212614.66259","355590394.071118","383528433.885156","466881417.35454","442526401.299756","290707507.281781","267767723.798647","363894096.666514","509389176.073425","521811886.901327","627143701.951508","573706099.815157","527417251.44383","825249419.589634","545942629.237613","588428459.734167","793567480.03797","686071847.589251","1157806136.30193","901234567.901235","985125858.12357","1001479925.52633","1084425951.90866","1072147168.72665","808137381.966303","539330505.34858","",
"France","FRA","Gross capital formation (current US$)","NE.GDI.TOTL.CD","15915766344.3773","17045109477.5872","19641270044.9896","22043449321.2759","25839370887.8413","27599817536.6684","30775264699.4584","33290378289.0658","35705843955.1546","40313170873.8661","41853076650.5256","45458742748.9049","56271781534.4603","74636122569.2398","83143753409.7109","89824078323.3899","98512701447.6919","104966568601.23","123197674418.605","152613320999.075","180568146538.342","144768859384.43","139188541770.636","121773818745.159","112660061547.699","117091546211.126","167848281087.224","207974462512.278","237826230591.345","248802179724.45","309802433441.754","299576793396.117","307762081784.387","258523280055.594","283220699432.892","328434748324.353","315069880753.943","282615194425.714","310850567044.696","318995417061.005","307105790611.765","305355931125.985","320034155260.785","390787636480.391","463979295799.615","493271840273.93","539239515543.529","642926880625.1","707078928400.781","576184618476.562","580520722600.001","665315636147.861","607224530833.594","626688434220.394","648584710908.233","553996428982.422","559122221067.317","608204529875.295","665845771717.647","664879420337.254","625991999470.819","740259418972.856",
"Faroe Islands","FRO","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","244358882.52149","266835813.193429","328858977.372543","303071081.847455","297009386.043802","471727613.582889","349001018.176962","387433507.312111","578529629.380507","751915057.773206","651517231.909927","402693577.57093","455183940.541598","407379812.61758","637324126.025032","580951872.229048","634031180.400891","616908693.648835","623527489.341474","699117054.627512","947375922.465398","911326356.19396","935082007.306522","1012231394.44259",
"Micronesia, Fed. Sts.","FSM","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","40200000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","103472052.840326","122023614.059747","207120149.98548","271435334.690191","799319771.76178","1352228445.13906","2211755207.34779","1631392507.84498","836672266.377507","997547761.245384","1178533339.47433","1403959668.34131","1266865729.36292","1193231505.88035","1174029463.70555","1402519353.47435","1578084561.64853","865119366.587924","1436973512.87051","1101225267.68622","1290288041.45072","1430046570.64397","1254100049.56708","982941200.177338","916431389.359636","1155568124.22919","1414908757.7343","1638598851.85004","1773534754.02567","1220238888.44405","1112730355.05091","1142565270.2077","1339576969.27203","1474236477.00438","1670290401.98127","2047316837.43682","2483291400.72768","3098743360.5281","3906835686.7713","3389548034.26967","4268819881.91861","4851661396.97816","4630213420.73342","5134543281.26607","6396701163.91191","4204319929.39247","3783962775.57958","3179773354.89283","3248348920.62001","3695291724.50181","3047512950.37227","3394428205.05402",
"United Kingdom","GBR","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","31893635709.1433","35287551715.7459","39433968531.4685","52390296423.3219","57220614773.2585","57913639380.531","60660352201.2579","66945000872.1437","83389296260.7862","109654872935.197","121307827097.374","104742564308.682","103874018169.113","103271226314.992","102479440010.641","107736029260.78","130956061272.354","169285901291.061","231509699395.233","241715021269.634","253398528053.977","225977202821.87","224218292383.292","196861529694.061","223049667891.032","251183525327.442","267964118564.743","275532089063.523","300685657502.484","304067303025.4","305431986684.824","298874334244.998","326218525179.856","368566530612.245","428881362138.411","455370909090.909","494975160993.56","573137254901.961","512715073529.412","362104689203.926","404482933202.114","423181732191.319","429724814726.684","459143505600.668","539687363416.469","521370952797.846","484283432085.463","492407619907.202","520995953453.029","521894890624.532","466718202004.03","566531233570.304",
"Georgia","GEO","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2377740572.78002","1788079470.19868","863220380.905268","162068573.556036","66536639.732516","108637058.367483","606497239.779182","626187591.522158","981815584.976256","740696962.212892","812717176.827726","976398359.86493","967822653.367947","1161299342.87179","1588219949.91653","2136702157.00337","2303077960.00899","3403292427.41694","3542929970.48565","1505836575.87549","2512876620.09763","3354343314.55677","4266517289.40834","3608272213.53854","4478337203.37543","3932049530.69228","4565555414.71247","4432715680.41442","4948786742.94733","4419833073.21226","3779593401.29273","3534296591.81294",
"Ghana","GHA","Gross capital formation (current US$)","NE.GDI.TOTL.CD","296918767.507003","261904761.904762","236694677.871148","288515406.162465","337535014.005602","366946778.711485","273109243.697479","180023228.803717","185321189.075659","231406352.49659","313771325.419105","341295608.405347","150074099.086424","222535211.267606","377639751.552795","357446808.510638","","","","","","","","152138444.617759","303424657.534247","431069566.841788","536222497.806984","529510204.081633","587147621.742594","693706292.959972","850632252.2379","1047464673.91304","820979405.034325","1325115562.4037","1304393305.43933","1294412010.00834","1470216513.76147","1709472656.25","1728806228.3737","1621105776.44411","1195856120.38906","1413735306.43585","1214767036.85008","1750639593.90863","2520310950.52807","3116185815.28944","4692027865.80702","3819650975.76667","4729681174.56999","4280171245.5516","4217905104.8951","5039107260.29199","7002740917.31054","15562402644.5947","14899666125.8027","13752759516.5025","14441512404.7266","12439979611.5389","15242839879.6153","13438181603.864","13358685222.5816","14395775120.1832",
"Gibraltar","GIB","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","297881707.289644","332015802.895641","407400318.468249","417894395.937569","536216095.116582","548819466.156827","576407151.519626","582318836.727071","630941054.419024","804891005.299011","804068625.757781","794906622.278035","689263431.373611","686974226.995463","613233984.454137","466231121.87931","428903538.123813","744982962.382628","753543568.824946","573752030.309632","1036580257.51882","1471204730.31756","1825847653.52563","1431144986.76049","1392994696.06647","1632051618.38155","1987535950.06405","1967998342.24058","2002947166.66333","2124975239.07735","4527476239.89941","2299346691.89392","2317731047.98506","2652082676.32406","2111287160.09362","2396307083.3344",
"Gambia, The","GMB","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","3615724.92579941","4290252.27483245","4359045.74473192","4535448.56717707","3603177.65084241","3116957.07193614","4275371.00884425","6105263.15789474","5706762.5226489","9842367.25663717","13183897.2008806","18336938.5085041","39750875.0059932","60248887.9474688","64357640.9064497","55421565.6717918","48525879.0128849","40305465.0193284","32476772.4114841","34053262.7956547","30815884.4765343","37784123.0351691","43616957.8438972","57861714.7528878","70846554.1312349","140394373.132107","177059140.93326","39849304.397437","34976820.6391283","54262900.3698543","57503694.9332462","41589253.151899","41042910.4302318","38740484.9452835","35720494.8543902","76802399.4084349","42085913.1028527","48893272.1123009","137728479.092644","142150241.116485","165397620.583132","160814363.938987","164335538.292388","186943597.90425","214158217.906611","181796581.979872","295413238.72794","202400977.818319","204761268.061247","280479955.865262","369979323.303937","345544621.306231","348803797.573507","399706135.330836","579065065.813362","745176443.738297",
"Guinea-Bissau","GNB","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","23283804.9864128","21991357.1412863","19954257.1414318","18670169.4915254","16609375","16781019.0769096","18272627.394698","22741877.0321633","26612680.1152738","25885186.305693","31183313.276238","39836818.1818182","46776242.3017157","37069821.1234139","52240551.0968719","50493746.875789","30967041.2535589","61215540.9134251","73514921.5125562","83087268.1481744","73007624.4180607","79689292.0657425","109528327.002614","73095426.230544","51296142.5951116","56637302.4513459","62337371.7482655","64450238.4397743","23468018.9127315","34901788.8770667","43570129.1734252","40143976.4215535","30982313.440194","43366582.6058196","46952163.5080347","64727835.535669","59181632.7530657","87253100.6487842","111002574.663677","89671349.84246","91661397.4736572","109266885.249102","66271663.0859319","75573590.2600448","120435525.105148","84755162.9982966","92234661.8054234","121529180.3229","259667569.063807","292497184.726008","239778933.295806","",
"Equatorial Guinea","GNQ","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3243950156.60663","2673043532.47461","3867386599.6977","5439466661.069","5919873151.76234","6208672977.8415","6844873385.30024","9212388526.00585","6652262929.55086","6248709639.3309","3257009291.25726","1877062923.46883","1711997517.29421","1637322406.38837","1237747712.53655","461288148.078654","584627686.077615",
"Greece","GRC","Gross capital formation (current US$)","NE.GDI.TOTL.CD","714661760.492592","1104729627.72056","1221183207.07901","1600108549.76704","2117890647.55519","2679134270.21554","2700018836.85324","2740685076.00752","3237445171.33031","4269900591.20164","4790511363.63636","5547488636.36364","7049193181.81818","10790345224.3959","9697613636.36364","10388490967.0563","11903610074.6269","12207317298.7974","14512801484.2301","17484691812.3275","17397761790.5675","13097195571.9557","16269051020.4082","14157910216.7183","14312500000","14989005674.8088","17101964459.591","15153228485.1535","20279533989.9111","21263738984.4734","26975621238.1771","29865980557.1135","29532420450.4827","26312174494.6492","26572564606.7416","30758748345.3449","34064330407.701","32125826781.4801","36360514239.5941","34434796865.2151","33691611528.5287","35019677878.5319","38254183590.5601","55398593779.8069","60981057217.8936","54778679365.0801","71537671401.4552","86521839117.6324","87237819447.7531","60755012293.6257","53441667179.8334","39706105426.79","29280539398.2188","28535009195.4887","28001349073.7979","23632667841.3152","24794230135.6028","24026625231.4459","27884619942.4925","25526804076.1098","28265513633.1798","38992002999.8831",
"Grenada","GRD","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","301713799.960532","297374438.750814","446880888.459037","465813546.781462","686150963.499091","1007100684.56876","814956443.880692","1310485233.19287","1718293069.08563","983116098.403107","808040881.007069","642244988.864143","600529139.850473","663160865.754564","673416226.203638","664365122.097995","937520616.547216","992448907.843047","",
"Guatemala","GTM","Gross capital formation (current US$)","NE.GDI.TOTL.CD","107500000","96000000","100400000","133300000","166500000","177200000","149600000","188100000","243900000","195700000","244200000","285500000","254800000","351600000","588000000","586800000","934400000","1098200000","1312400000","1293900000","1250000000","1466000100","1232999900","1002000000","1095900000","1117739130.43478","747260273.972603","985480000","1074236641.22137","1136718750","1040617058.27277","1344628049.87174","1913317603.37292","1966066614.61476","2035940064.68215","2206387068.46109","1988632239.95272","2434483566.13949","3373945952.70862","3178976019.93149","3440237054.3075","3676815819.61164","4270367055.75514","4449368849.87848","4995934071.60385","5370405467.71637","6295397982.26922","7106172181.46039","6419196256.61376","4925350972.84846","5761488619.7225","7257442302.25807","7535378165.84967","8396044076.46879","8719029112.02504","9221064195.01489","9156346715.08836","9742172402.9995","10112245185.658","11032732924.5001","10300662263.4912","14587037662.9086",
"Guam","GUM","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Gross capital formation (current US$)","NE.GDI.TOTL.CD","48124598.9616753","44566295.2808727","32433063.0578079","29691419.238173","31266406.1132824","47411764.7058824","54588235.2941177","64588235.2941177","51150000","51900000","60950000","52550000","56619047.6190476","83571428.5714286","114590909.090909","163583333.333333","170200000","130800000","104000000","164400000","197600000","178928571.428571","120333333.333333","104666666.666667","120000000","162325581.395349","202558139.534884","110306112.244898","87500000","84448525.7352941","123468346.835443","138587738.81932","193329055.155875","183584748.847926","147241722.342733","206558395.774648","224722649.57265","238884693.927711","207515291.757187","173674537.354352","169443794.332073","153617000.888316","151474640.862245","155687646.322461","185496259.596838","266716697.93621","","","","","","","","","","","","","","","","",
"High income","HIC","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","636338348148.983","697555023268.613","818409935547.899","1039706202718.3","1181085751041.13","1167780222388.43","1326418181149.69","1509284462317.4","1842907980423.62","2175460873447.91","2352753775098.98","2324024567406.99","2188786375864.79","2242089331588.97","2460833247607.31","2525274152257.5","3075820591506.43","3602085213864.74","4201819816351.24","4443043123926.38","4901029717198.83","5029480787616.28","5257637532052.5","5174283405206.84","5634144583698.25","6325554587269.01","6350173695045.69","6226240895584.29","6199799950447.82","6527296706404","6779630896224.23","6389669304228.59","6434606755879.21","7200018140212.69","8179732264096.21","8824837944390.65","9516536365541.44","10447213028884.2","10878333711529.3","8887083451575.41","9663280874653.58","10675673676550.7","10651135090832.6","10759547693597.5","11179413009242.6","10704097460335.5","10832351459983.1","11507039808751","12392123415092.6","12645127612069.5","12121278975255.4","13594757695680.5",
"Hong Kong SAR, China","HKG","Gross capital formation (current US$)","NE.GDI.TOTL.CD","365711236.497272","331860870.856379","458628753.851294","648130962.545009","799769850.402762","849738219.895288","688272519.656212","541452805.567638","451430543.458612","521694893.002494","775582715.115227","1089600563.67327","1337256709.32747","1837559506.4607","2270450751.25209","2305681633.97633","3268227042.89675","4169026169.02617","5261865619.06185","7351430227.67705","10059283374.5303","10850553736.6039","10004942420.7977","7976105268.95337","8182783320.54234","7675463367.04831","9625030435.84125","13196209430.2604","16928260312.5801","18245618533.5709","20901820329.1484","23949197035.2069","29380668165.2585","32796292466.0013","42616841778.3759","49602497479.2523","50790633929.3795","60654990248.1239","48983512581.8238","41408056719.3039","47350215627.8879","43182925578.2941","38561335572.9654","36117275389.12","37806368772.4705","38238334640.5565","43129843713.7928","45273540646.5506","46139107207.0684","46762429371.2428","54622612366.7817","59999100719.4245","66235495848.5896","66251031459.5152","69432816187.5653","66645811295.4411","69008283627.2754","75315659805.9847","79561523250.6219","66043211373.2947","65213608002.8876","65018525189.1113",
"Honduras","HND","Gross capital formation (current US$)","NE.GDI.TOTL.CD","46650000","43400000","57750000","65450000","66800000","74350000","88200000","117550000","119650000","129400000","151000000","125000000","128000000","174000000","271000000","213000000","259000000","385000000","754098062.8","870116115.7","900848310.25","780940217.35","551579059.45","568124354.1","784648678.7","838158726.5","720865755.45","988005721.7","1135837227.16738","953122564.103448","1037012272.76265","1050542836.72203","1176539987.99542","1515513374.56454","1601320901.91228","1546829833.15954","1488062829.39189","1691690844.10646","1804779062.0384","2038766041.81185","2032990579.89569","1989377649.12643","1906285171.95856","2080714594.43884","2631130661.13116","2695183275.54255","3094224988.35683","4161454557.00155","5006570107.59741","3004943080.48118","3465623362.67075","4604680421.41766","4551404456.93306","4025602098.87097","4382747579.47701","5269694511.7839","5076956426.53821","5742577840.60186","6395310989.97184","5703225411.5919","4487879293.30117","6835785099.53491",
"Heavily indebted poor countries (HIPC)","HPC","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24327127993.687","29161424141.756","21806416152.693","23659100007.1863","23220382377.712","25010260264.5521","27993700200.4029","28493622813.886","33543246814.456","33651426000.3847","35439304092.795","34466820633.5523","36333666383.335","44031932095.4403","53055701730.6192","63197626688.977","74069448665.9041","92238141976.9973","114592010806.811","109615786086.766","128271135076.555","139654709199.308","155107156723.632","184236860364.51","207837659998.106","203515791981.146","210768569702.13","235296954753.664","209102557303.607","216218785449.831","204100440627.736","223511345629.688",
"Croatia","HRV","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3882514150.27143","4896883494.30084","6117578486.88458","5592066484.14055","5012043129.20804","4372494818.47741","4942449760.74954","6631892118.44436","9759325985.69169","11193450826.8114","12259486345.4107","14726997079.3572","17471536975.5508","21598136447.1087","15761311929.3368","12665212628.5105","12488270420.3102","10650093766.9019","11288779645.0876","10947363765.4495","10232405245.0622","10880325984.9379","12231634578.8957","14441867879.3321","14267306251.54","13858533774.3309","15035331838.9839",
"Haiti","HTI","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","461637800","515231000","616783000","846431728.219515","499280198.926842","259899283.959227","221103891.699787","733981709.170282","817896232.765713","819000160.745861","968380731.694341","1150503517.72658","585688503.368771","524660956.561515","502735209.728105","602032686.023345","650825242.106802","843897693.925713","975769487.992357","1145351058.02705","1368601885.19492","1462036956.92251","2963492515.43057","2481377879.42944","2400316045.42765","2608524877.5081","2501114208.11316","2084400649.95644","2368827412.91637","3039059510.35208","3078706755.59578","3004787768.54003","2568402787.39508","3780054178.79619",
"Hungary","HUN","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7280010209.40657","6376908883.97396","8200226074.73606","9810475867.49453","10745748178.2452","11575585977.2927","12430451011.0863","13986330332.2688","13330360478.6591","13251798856.8966","14101425018.5436","17310194975.3998","20990897730.6518","28513448860.5929","29402788320.6193","30350225771.1868","34797430426.4433","39684039525.1268","27601413845.9843","28000448838.4301","29515406232.1255","25969914669.1346","29334745971.0767","33926407807.3387","29431337205.6599","27713567851.0959","33063567350.9049","43048511352.2115","46575892795.7063","42837372698.8387","55456580412.2947",
"IBRD only","IBD","Gross capital formation (current US$)","NE.GDI.TOTL.CD","85764409143.3341","66168292719.6659","60868211202.7463","69591357608.1257","83826863116.5218","97662244953.0525","103335236892.298","97393391381.9028","104756218965.911","120925204447.687","147475694691.01","162408433546.937","179485683948.471","235264083848.165","312139111156.065","363226787852.662","386760012784.511","448981486397.926","474143982397.598","531675270530.458","649215069652.346","714680465701.11","655308085081.904","611199066208.191","621442368496.326","664187638604.75","668344344477.294","681069798734.581","777038844405.293","844416020897.047","975416650480.781","925367457425.806","987285244725.388","1044336900627.23","1159918881363.61","1286652051197.84","1376197639652.94","1439499554683.47","1351276388450.85","1307317548073.82","1423050822763.96","1490530310310.52","1532733779942.57","1816454102166.19","2289010908142.32","2698913034288.02","3273825026946.14","4280364038843.58","5325252804596.16","5169034484581.78","6517645966758.05","7845661333573.41","8373867271443.28","8836172481051.25","9150387413034.28","8500397909195.67","8427078227795.52","9379674102798.98","10260125609351.1","10310191283363","9994793800803.03","12042047885295.9",
"IDA & IBRD total","IBT","Gross capital formation (current US$)","NE.GDI.TOTL.CD","112107022237.264","88304134940.9725","82437157541.1463","93728338075.0443","112689602660.041","130996735404.39","138220317617.942","131659859221.98","141562789794.074","162354001553.5","197265459466.936","216416953429.083","236942359698.678","309328667609.121","410142104755.255","477976951832.837","508302500192.521","591636365874.331","628488654097.765","703904735263.648","863383668879.496","949988052578.212","856387893381.124","740888797996.727","709202177907.919","740877255779.123","742955648038.075","754505218580.784","844507597698.14","914416905367.686","1058578267069.96","1007493825269.18","1061389760508.42","1108183217032.46","1227062034243.56","1361979180495.99","1460436343992.17","1526061768038.7","1442495410273.31","1397714634582.06","1522844774269.49","1588881970211.69","1634935953221.54","1937222666086.22","2432708185957.7","2870975654342.45","3489803458913.9","4520688007803.49","5613480775909.98","5451597692731.89","6836051015026.17","8202114739852.23","8764331607091.79","9274142978007.23","9639352089165.44","8982927298885.28","8931549185202.13","9925814617250.82","10837942963461","10932517793359.2","10605247875736","12737274074973.8",
