"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1064047261.03177","823376623.376623","20763233.4837915","118596041.577673","367483703.324578","305535851.697282","336887740.314945","381439054.219323","429617443.012884","383285986.618323","419059322.442292","485221417.504414","604023894.654225","795744250.738635","1041601837.09813","1752674590.42415","2695863911.29323","4083144220.15259","5591113032.87191","3558197968.36243","3594356909.54757","3237544392.51019","2620949363.30781","2463681600.05586","2470857362.40496","2187762845.65793","1899939894.46567","2123558470.35651","2790546512.65591","2370918342.17895","2485842282.21613","2868079877.72198",
"American Samoa","ASM","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120000000","128518518.518519","140370370.37037","160370370.37037","176666666.666667","201111111.111111","221481481.481481","239629629.62963","164074074.074074","180370370.37037","198518518.518519","216296296.296296","275185185.185185","418888888.888889","490370370.37037","512592592.592593","462962962.962963","322962962.962963","235925925.925926","265555555.555556","280370370.37037","311980222.222222","319849629.62963","390500851.851852","478079407.407407","593774629.62963","706740259.259259","789994259.259259","",
"Australia","AUS","Gross capital formation (current US$)","NE.GDI.TOTL.CD","5874118042.33397","6522566916.78799","5662448202.48628","6639041326.01635","7304289394.10908","8710941874.79001","8905812520.99899","10021278978.609","10790682047.2617","12337327808.2652","13628625825.9604","14512263411.3563","15834112149.5327","18120435618.1935","27195283714.0752","26083572306.4318","27765032144.2077","29755677907.777","30592149785.6982","37570146540.952","40626183844.0111","50727969348.659","57890323292.508","44852597098.7365","51535953631.5885","50582956201.5801","51966284275.3218","51833642138.6977","66049912689.1735","88793257878.023","90133897652.9434","78951416686.2884","72740905944.782","73669898819.5616","78349360083.0163","95700920700.9207","99487101669.1957","108276725622.163","102492708403.988","101877428249.154","109246373170.885","88805946119.9957","96603181247.3838","121316249271.986","166346564233.888","191020147346.264","205849056603.774","235140928005.025","302065353625.783","254140774554.557","307672861798.644","370061125899.635","428842029284.389","439544475223.146","392339116864.041","354953823113.404","306658174406.755","319788068481.786","350779784512.828","324419968530.968","295181659739.911","353422643480.857",
"Austria","AUT","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","4771495104.52501","5541740279.76649","7058711828.085","9517022981.2355","11444997055.3592","10879523583.7876","12248654598.4506","15309730247.2733","16461066995.1673","21696574369.5317","23617236758.1366","19127014860.8951","17519558764.2171","16618430366.1713","16163509387.2498","16964551742.4847","23505006759.8017","29871903569.8737","34140480329.8785","35233812792.5117","44427926903.0618","46746366529.1691","51115807663.411","48063635395.7175","53086308878.4484","64509635594.377","62486378996.6207","55780133047.6942","56978190306.803","56742769390.5716","51151223869.9138","49694720840.2363","50688642610.5844","64017705669.2077","72533785056.5098","75309760547.8599","79396824794.7881","95678567534.5846","105712137732.312","91501841483.1445","88684956533.0002","104210859701.265","98162711032.4297","102055883866.071","104147035170.811","90930239902.4609","96015598610.7201","103641074465.706","117053010625.043","112705212081.333","111621480249.837","133444981828.099",
"Azerbaijan","AZE","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2350453170.51241","273116153.545015","-3092592.59259259","342220000","182732484.076433","574827234.621049","921190282.459607","1356542466.44085","1483587490.30757","1213834951.45631","1090075994.63567","1180178245.46333","2156140711.7877","3869157926.89136","5033784471.35443","5501586629.99788","6265390642.48937","7114089266.9852","9132302823.75852","8392634983.82682","9555195614.25368","13366974800.5572","15551171079.4297","19029063097.5143","20699732245.3143","14814952176.4591","9724885630.13098","9962584243.55101","9483588235.29412","9783117647.05882","10103705882.3529","9457058823.52941",
"Burundi","BDI","Gross capital formation (current US$)","NE.GDI.TOTL.CD","12250000","14000000","15750000","14000000","14000000","9168592.59259259","11196571.4285714","12216000","15003428.5714286","15765714.2857143","10997714.2857143","19235428.5714286","7852571.42857143","16165996.0512833","13991111.1111111","31911111.1111111","40753623.1884058","61304333.3333333","85656666.6666667","116718888.888889","127711111.111111","164797777.777778","146485555.555556","247197417.966649","181346587.586668","159400115.999669","139931680.826837","255851408.222726","162740838.348944","183384068.520864","164573297.130011","168219356.189364","115216775.562522","108319604.61285","64512809.5526452","63661624.45247","71345995.045417","59316021.0018448","60522710.756382","47554830.0092271","24209416.2376677","39177455.289938","32592023.7159484","61742809.1112302","94702564.2423086","203354652.816276","235739735.716599","205958651.027938","216130410.221619","338028841.651688","348722179.831571","365461634.942235","381224689.872954","358734743.977651","384303944.68382","377554183.371787","243804916.096433","238847686.468118","295365722.194483","364028618.249905","303280662.088134","364506379.524521",
"Belgium","BEL","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","7920173457.03913","8516198503.41255","9882648703.14362","13174221693.2312","16974109362.0547","17491570692.1136","19183382445.1411","22063809791.7839","26750690406.0459","30192670610.8971","33679664781.3492","23640708387.6575","19891607805.0503","16354968836.2919","16518434096.6211","16371354711.5973","22282198844.1394","29333124797.4068","35480165660.9984","38634424651.9247","49990834138.0975","48081293561.7247","53043104140.527","49285735774.2537","53905776464.9144","62762999452.6546","60393355048.8599","56354758682.9048","57777617248.2774","58593404930.1932","56316259202.6668","53584708567.2835","53607884006.0785","66685072366.745","83690121031.6991","91341356615.7198","97862125665.1763","115862269152.353","134178198018.437","107153322691.094","111337132530","128252251484.436","117538249252.148","117028316331.726","123868881729.098","109240420185.156","115455750565.448","122958227194.941","138084759395.137","134025615315.294","127810488175.72","154518871262.013",
"Benin","BEN","Gross capital formation (current US$)","NE.GDI.TOTL.CD","25842781.1159358","25835932.1389822","26266053.476966","29498340.9273828","26264627.7637748","25446737.1171819","26591675.1330194","36211250.8531473","40381361.7207946","41883268.0798552","38675397.9966216","34464412.1348143","54835265.264598","65952052.8585503","101119757.113176","130650091.525055","116300238.333881","133140835.811831","149209484.883843","225647042.895503","212987905.599973","202405678.031439","349962859.81127","189730921.415188","134338256.628174","93486441.1269123","179898719.600215","201972073.617656","253296823.012528","177528295.972236","275578098.968357","287597361.142177","230920741.343478","365251614.796587","284492908.65153","464729105.011656","414403538.327647","420653263.474152","445725914.896776","670282104.195259","563494377.703433","650854241.759634","622177180.425571","811150302.622499","942072862.566324","793769670.431045","905533909.90028","1337834320.69242","1344876020.6278","1447716896.94136","1488285156.12063","1760394155.70592","1701988707.71199","2361099968.6628","2558279326.0386","2360978317.51814","2396371151.24032","3043370370.79854","3763352165.62212","3688560500.96908","4012092605.45227","4459077404.78451",
"Burkina Faso","BFA","Gross capital formation (current US$)","NE.GDI.TOTL.CD","28153525.9065128","30311210.0174468","33051939.9103479","34680445.8803574","39551345.7281477","36844317.4737382","34590062.0485969","36162710.7868305","38079461.2479081","45965964.0730172","47078279.512784","71753346.2983442","99966819.9038518","139212989.682766","191713050.472218","217173380.137173","223087354.493922","221295339.826612","270311143.205208","286752522.075802","291370697.880912","250942987.471088","314513818.816012","274164010.958732","206815778.542817","356348052.25447","410042095.442209","455545172.201988","491525555.635387","533841903.799995","586561291.066638","666059576.352085","647923339.89946","622610469.037931","514877714.471798","569307864.154227","645207508.556308","670460063.693591","678072856.460477","586276507.039379","432512258.521447","432164404.120876","487267134.602599","732888718.590564","845998738.001054","1079520412.5719","1055771865.31441","1391777192.45427","1959468236.54709","1889197446.53019","2223149085.99392","2672585854.04816","3096666404.86074","3187632373.25967","2685738664.92708","2296231620.58532","2668768233.03728","3112253763.71271","3454357890.4539","3592902011.56831","","",
"Bangladesh","BGD","Gross capital formation (current US$)","NE.GDI.TOTL.CD","294722550.790919","372370589.372693","609282225.793725","524266062.50468","644988995.208458","677861868.902446","580660081.097526","776763927.47315","1059300812.08153","1059584249.57027","1020193438.63523","720086513.05823","295402700","704516103.328621","922776098.418278","1195666122.12708","1002743730.63973","1112122954.10472","1533618895.50265","1743936511.16951","2619023882.42894","3473990208.07834","3216616766.46707","2916540404.0404","3118960000","3526884615.38462","3522266666.66667","3759741935.48387","4182467846.43516","4639875609.98287","5200668451.78662","5230560224.08964","5487230031.83024","5952339523.80952","6214296793.01746","7254002500","9626674816.62592","10525081967.2131","11057290748.8987","11649376039.9334","12706579208.9048","13052020014.8258","13320616402.5771","14846735751.2953","16271819262.7824","17937414634.1463","18776485912.7457","20841195821.0252","24009476211.9225","26855388461.7397","30256903105.2292","35273774915.9694","37689448672.3874","42581720212.9776","49406990433.6694","56351771702.4379","80206815216.8774","90907877625.1483","102271080068.093","113147013181.132","117061045520.856","129120135084.463",
"Bulgaria","BGR","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","6744615384.61539","7051428571.42857","6601333333.33333","5447777777.77778","5842111111.11111","5523578947.36842","7264705882.35294","9246307692.30769","7763176470.58824","7280166666.66667","5279500000","2472983870.96774","2058608247.42268","1655000000","910701107.01107","3365505952.38095","142282181.000562","1100749152.74392","2812033628.72075","2704165533.00321","2522820609.42872","3028328832.33396","3367343765.04574","4667580077.33595","6129671131.99162","8285641318.84887","11020906817.1615","14932194541.6375","20116997232.8173","14846582782.3985","11414082848.2469","12319308211.8734","11884432325.887","11725137757.8719","12276722968.3896","10660807073.226","10226568438.914","11724968020.7433","14078532890.7664","14470783056.6686","14283828584.7463","17714226629.5804",
"Bahrain","BHR","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","1417352348.10295","1443085638.29787","1322606382.97872","1638031648.93617","1663031914.89362","1301861702.12766","812765957.446808","863563829.787234","747872340.425532","951861702.12766","694946808.510638","1320212765.95745","1397606382.97872","951861702.12766","1093085106.38298","854521276.595745","878989361.702128","1107712765.95745","1324734042.55319","523404255.319149","1502180851.06383","1410106382.97872","2239867021.2766","2628696808.51064","2698404255.31915","4269281914.89362","5623218085.10638","7543191489.3617","8985478723.40425","5997127659.57447","7016250000","6446808510.6383","8654813829.78723","8440930851.06383","8962765957.44681","7927473404.25532","9397765957.44681","11686276595.7447","13330664893.617","12615265957.4468","12248244680.8511","",
"Bahamas, The","BHS","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","89200000","94400000","146200000","244200000","268800000","338800000","352300000","333700000","444900000","455500000","510100000","","964520000","931270000","913340000","866210000","721660000","842800000","948290000","1100520000","1841400000","2194300000","2209300000","2437900000","2235300000","2150000000","2153100000","2100000000","2688900000","3407700000","3239700000","3100500000","2800300000","2825400000","3039600000","3360000000","3062500000","3505500000","2915900000","3091100000","3428000000","3366700000","3479500000","2378200000","2889500000",
"Bosnia and Herzegovina","BIH","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","373000000","1148237971.8235","1542162908.71345","1564345797.57913","1312004302.83224","1655036504.94583","1797058702.41581","2073949855.63041","2523168378.53433","3036672888.88889","3225452343.10422","3251764094.67","4708586354.09377","6057785799.88017","4165407912.49379","3385330940.61082","4139108110.02914","3865086782.28879","3859947254.09001","4180427214.76055","3558020017.01162","3888190091.0582","4514505819.98386","5000136813.51841","5088616621.83046","4673454280.72219","6155263062.40929",
"Belarus","BLR","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5740000000","6000000000","5370370370.37037","6677685950.41322","4917757636.79087","3458209607.99208","3470692307.69231","3791634570.94438","4066098681.92855","2877642953.12782","3234992623.92387","2935611510.79137","3236544946.95701","4448805460.75085","6634861111.11111","8597214484.67966","11893426573.4266","15435927306.617","22872378277.1536","18754242749.7315","23264585431.3528","22984763819.0955","23051709247.9309","29303367117.1171","27459555946.7919","16391460504.8349","12635806192.1994","15340061067.1221","16856105221.8296","18775408738.8852","16849483521.8888","16881868672.9428",
"Belize","BLZ","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","46148810.0155","49226883.5955","35123491.3785","37577555.2845","49826574.7015","46065331.224","46633691.9365","58974177.7","77017604.3","109154346.49","120500000","144500000","160000000","187500000","141000000","159000000","154000000","155500000","154000000","213000000","298000000","257000000","256500000","231500000","233000000","261500000","274500000","295000000","365500000","274000000","264500000","210000000","238500000","284000000","365500000","366500000","403000000","342000000","380000000","406000000","388500000","526500000",
"Bermuda","BMU","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","865343000","794297000","702521000","704322000","775746000","791397000","883410000","983043000","968986000","1094851000","842869000","940628000",
"Bolivia","BOL","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","166666666.666667","184427609.427609","253253102.670177","257871064.467766","306246876.561719","553623188.405797","524137931.034483","618290854.572714","928085957.021489","921027480.848686","754929378.951603","945664622.454172","874025542.817306","717863638.725066","1213636068.93952","1046649569.22853","536849254.765895","587323797.87348","642782458.038064","546466739.862792","610002370.249422","832362955.929174","942774900.653762","949878947.738623","859576366.194135","1023668416.5573","1201061837.3862","1555965761.3764","2005974083.95492","1555262180.85472","1523673469.7178","1161669996.51879","1288172984.6583","1069464356.59077","966983807.96371","1361089436.03476","1587839582.60522","1992516940.08559","2926800864.84396","2942815327.63533","3341816423.67495","4748407452.78939","4786641070.91172","5830709334.29812","6940351215.62952","6692861570.57572","7147105759.49828","8334527688.78819","8297786011.61544","8127949873.4325","5779504191.80679","6802622570.48825",
"Brazil","BRA","Gross capital formation (current US$)","NE.GDI.TOTL.CD","2984287125.54907","3254003977.98811","3906482215.26138","4433909873.4278","3945920611.76361","4363220210.12389","5383556739.78939","5175745046.02096","6408490804.50458","8372887332.97774","8694949202.08942","10390955066.7027","12393184513.7359","18427695392.8517","26692655164.1699","33202202646.7511","35293372834.9106","38879499001.1146","46130434386.0675","51213073778.9867","54869959137.338","60840759336.8964","59417401686.2414","33915348956.0437","32901534612.5158","35751517967.037","43091187557.6271","55041471593.5294","63006784312.7753","93360241356.8167","78800407097.4007","67729627065.9361","62140880537.2798","76776246143.5686","116346111133.374","133035784048.927","146842676151.627","156892667192.638","156890961779.756","104275116884.583","123900152764.993","104952779877.426","88953455519.7918","94098958635.2559","119887704351.988","153403932919.816","197342443433.09","276892701710.236","366626805049.624","313335290287.086","481563211175.534","571019249641.32","527975014489.785","536444970548.676","504667658563.536","313794824100.514","268808180162.117","301800150404.211","289363949750.944","290672075345.418","230764615048.883","304415271596.47",
"Barbados","BRB","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","77327360.0316816","117732807.665436","118871835.758421","126525132.998558","157758663.550937","210958086.809526","261025207.577189","223984487.644807","209466514.194799","185949385.969274","184855566.051807","210659772.286581","232038979.764332","270123800.527022","326306369.015065","300402724.605976","270322676.875653","137600000","197782528.712773","238303584.746184","268184756.127878","286282503.853229","385124049.122458","532889176.154726","575995624.72033","554000000","477300000","540600000","586200000","662600000","722600000","897104750","886899200","875483700","757038750","719367550","794384250","745924400","772805500","776494850","797933650","791860200","778175600","727000000","771750000","849250000","884600000",
"Brunei Darussalam","BRN","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554786443.111316","657655172.413793","763486918.268118","972989564.149785","1217353632.87536","1171271441.66558","1735572174.40384","2113475177.30496","1844692887.93103","1369502868.06883","983480825.958702","783625754.060325","808236981.637551","1242275661.78934","987236712.202962","1061697373.09194","1083406392.69406","1197243375.92045","1590339061.77427","1967259384.70223","1884229341.3997","3247524752.47525","4820732967.64449","6263604353.39309","7163523017.90281","4692186266.7719","4557422357.98967","3946936364.29451","4221152291.98349","5571545926.31033","5209670209.64668","4872904182.06857","4380213921.12891",
"Bhutan","BTN","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","40580394.4020356","46984318.7066975","52394735.7293869","63775297.029703","63391883.8028169","74988302.3443816","83892529.7383029","93300293.2098765","109080459.770115","89488601.3555145","80133027.2015991","77929014.9516271","96051176.6975309","92855401.7710725","126682731.909468","129886901.017576","113666048.54643","95861710.2726521","113799079.011149","140731913.608918","213690629.728527","288719957.618139","323550586.299115","366612365.822241","453845028.684907","430627793.650794","420958041.803695","350893282.706749","540043489.054182","579485107.243907","978413062.209956","1231335792.1354","1237502131.99629","828611483.707579","1019073398.93003","1111221375.14349","1236422882.13619","1276446063.97877","1165121546.43622","960089207.231438","769175812.01518","909892844.535991",
"Botswana","BWA","Gross capital formation (current US$)","NE.GDI.TOTL.CD","1829524.74414692","2434587.93899538","3136268.04990887","3735635.39773522","5111389.93447651","6072874.49392712","11227336.1227336","14923291.4923292","20362622.0362622","29591978.8330316","43620882.1887214","64289724.8736665","83786231.884058","124261633.77035","146504782.928624","148816768.086545","125632474.701012","151128266.033254","214682443.854142","305153374.233129","424922799.794133","466116887.773395","382198698.650092","344516364.299389","365334257.547751","256333438.452644","299212388.909584","304633986.538805","623701192.168872","1113504392.27753","1416420317.11905","1309408389.39454","1261340474.94904","1197253311.87322","1106682559.78544","1283421109.58805","1136483966.06702","1207461378.32804","1817340684.82453","1405393132.082","1710513936.25779","1640741628.43251","1642197920.28825","2264216772.056","2808295382.38616","2516836769.79303","2151741385.52047","2438372010.81645","3806022982.6129","3301663289.12244","4385416553.81536","5911027477.99128","5006684379.29455","3550716224.74372","3906663729.23653","3848586987.85665","3328375261.43911","4027245192.02892","4411752931.37255","5154982762.94871","4896098365.95031","5099155132.44884",
"Central African Republic","CAF","Gross capital formation (current US$)","NE.GDI.TOTL.CD","22023272.4879086","26094745.9452231","28977957.1689606","28161374.9120467","31425085.8680179","32236884.7906786","33376963.5425825","35772234.9796281","31102983.5836854","30773894.1978131","34008303.4524577","37769211.912557","42455672.7120363","56530332.1112014","43621922.6296786","52260036.6100221","53986075.358704","58612900.0483149","66472894.3493168","68634300.4189513","55850156.3804551","60721697.7052716","49907749.1819238","77939260.6530102","78497488.6527658","133049015.832597","143419445.062876","151698661.66051","132933487.595359","145058921.664421","183086465.822978","174210556.352929","175113093.794368","135275633.152118","99638925.9673054","157482223.723446","73317024.805279","94526113.5841625","106530736.91783","129551919.111137","101508293.811822","95510949.8568879","95871031.4291266","73162942.272202","86674959.892896","131980827.616971","149609820.039447","181662929.292275","253730794.394619","272980654.204375","360893405.603096","334210011.446188","271946502.276047","127125027.029785","416684472.310587","369781247.563267","409962376.32584","530547476.581692","577454534.325088","577538364.188418","604947439.305334","654289557.818891",
